рубрика,исполнитель,песня,имя,аккорды
советские песни,"из к/ф ""пять вечеров""",губы окаянные,,
советские песни,"из к/ф ""русское поле"" ","ой, мамочка",аркадий северный,
зарубежное,"из к/ф ""серенада солнечной долины""","i know why, and so do you",,
советские песни,"из к/ф ""служебный роман""",моей душе покоя нет,,
советские песни,"из к/ф ""чародеи""",снежинка,,
советские песни,"из к/ф ""чародеи""",три белых коня,,
детские песни,"из м/ф ""бременские музыканты""",весь мир у нас в руках (мы к вам заехали на час),,
детские песни,"из м/ф ""бременские музыканты""","говорят, мы бяки-буки",,https://amdm.ru/akkordi/pesni_iz_kino_i_myltfilmov/113840/govoryat_mi_byaki_buki_mf_bremenskie_muzikanti/
детские песни,"из м/ф ""бременские музыканты""",ничего на свете лучше нету,,
советские песни,"из м/ф ""бременские музыканты""",серенада трубадура (луч солнца золотого),муслим магомаев,
детские песни,"из м/ф ""голубой щенок""",ария голубого щенка (неужели из-за масти),,
детские песни,"из м/ф ""голубой щенок""","песня кота (я не знаю неудач, потому что я ловкач)",,
детские песни,"из м/ф ""голубой щенок""",песня кота и пирата (я и ты такие разные),,https://meddiator.ru/pesnya-kota-i-pirata.html
детские песни,"из м/ф ""голубой щенок""",песня рыбы-пилы ,,
детские песни,"из м/ф ""крокодил гена""",голубой вагон (медленно минуты уплывают в даль),,
детские песни,"из м/ф ""крокодил гена""",песня крокодила гены (пусть бегут неуклюже),,https://3akkorda.net/pust-begut-neuklyuzhe/
детские песни,"из м/ф ""крокодил гена""",песня чебурашки ,,
советские песни,"из м/ф ""крошка енот""",улыбка (от улыбки станет всем светлей),,
советские песни,"из м/ф ""трям здравствуйте""","облака, белогривые лошадки",,
зарубежное,"из рок-оперы ""иисус христос суперзвезда""","i don't know, how to love him",,https://mytabs.ru/akkordy/h/helen-reddy/i-dont-know-how-to-love-him-2_188019.html
зарубежное,"из рок-оперы ""иисус христос суперзвезда""",king herod's song,,
детские песни,"из сказки ""алиса в стране чудес""",марш антиподов,,
детские песни,"из сказки ""алиса в стране чудес""","песня алисы (я страшно скучаю, я просто без сил)",,
детские песни,"из сказки ""алиса в стране чудес""",песня попугая (послушайте все огого эгэгэ),,
советские песни,к/ф коллеги,палуба ,,
советские песни,камбурова,"маленький принц (кто тебя выдумал, звёздная страна)",елена,
советские песни,Кельми,Замыкая круг,Крис,
русский рок,кино,алюминевые агурцы,,D Bm G A
русский рок,кино,алюминевые огурцы,,
русский рок,кино,бездельник,,
русский рок,кино,"видели ночь, гуляли всю ночь до утра",,
русский рок,кино,восьмиклассница,,
русский рок,кино,группа крови,,
русский рок,кино,звезда по имени солнце,,
русский рок,кино,кукушка,,
русский рок,кино,мама-анархия,,
русский рок,кино,пачка сигарет,,
русский рок,кино,перемен,,
русская поп-музыка,киркоров,жестокая любовь,филипп,https://amdm.ru/akkordi/filipp_kirkorov/23790/zhestokaya_lybov/
русская поп-музыка,киркоров,просто подари,филипп,dm https://amdm.ru/akkordi/filipp_kirkorov/93814/prosto_podari/
русская поп-музыка,киркоров,"снег (если хочешь идти, иди)",филипп,
русская поп-музыка,киркоров,цвет настроения синий,филипп,https://amdm.ru/akkordi/filipp_kirkorov/163782/cvet_nastroeniya_siniy/
советские песни,козин,дружба,вадим,
русская поп-музыка,колибри,жёлтый лист осенний,,
русская поп-музыка,корнелюк,"город, которого нет (там для меня горит очаг)",игорь,
русский рок,Король и шут,Кукла колдуна,,
русский рок,Король и шут,Прыгну со скалы,,
русская поп-музыка,костюшкин,"женщина, я не танцую",стас,
русская поп-музыка,крид (feat. molly),если ты меня не любишь,егор,
советские песни,кристаллинская,нежность (опустела без тебя земля),майя,
советские песни,кристаллинская,топ-топ топает малыш,майя,
советские песни,кристаллинская,царевна-несмеяна (ты стоишь у окна),майя,
русская поп-музыка,ласковый май,седая ночь,,
советские песни,лейся песня,качается вагон,виа,
русская поп-музыка,лель,мой мармеладный (попробуй джага-джага),катя,
русский рок,Ленинград ,www ,,
русская поп-музыка,леонидов,девочка-виденье (я обернулся посмотреть),максим,
русская поп-музыка,леонтьев,дельтаплан,валерий,
русская поп-музыка,леонтьев,ярмарки-краски,валерий,
русская поп-музыка,леприконсы,"хали-гали, паратруппер",,
русская поп-музыка,лепс,рюмка водки,григорий,
русская поп-музыка,лепс (feat. валерий меладзе),обернитесь,григорий,
русский рок,летов,про дурачка,егор,
советские песни,лещенко,ах эти чёрные глаза (+очи чёрные),пётр,
советские песни,лещенко,моя марусечка,пётр,
советские песни,лещенко,у самовара я и моя маша,пётр ,
советские песни,лещенко ,"всё, что было",пётр,
русская поп-музыка,лоза,плот,юрий,
русская поп-музыка,любэ,берёзы (отчего так в россии),,
русская поп-музыка,любэ ,Комбат,,
русская поп-музыка,любэ ,Конь (выйду ночью),,
советские песни,магомаев,королева красоты,муслим,
советские песни,магомаев,лучший город земли (песня плывёт),муслим,
советские песни,магомаев,"о море, море",муслим,https://amdm.ru/akkordi/myslim_magomaev/135421/o_more_more_sinyaya_vechnost/
советские песни,макаров,последняя электричка,владимир,
русская поп-музыка,макsим,вдоль ночных дорог,,https://amdm.ru/akkordi/maksim/101853/znaesh_li_ti/
русская поп-музыка,макsим,трудный возраст,,
русская поп-музыка,маркин,вижу тень наискосок,владимир,
русская поп-музыка,меладзе,девушки из высшего общества,валерий,
русская поп-музыка,меладзе,красиво ты вошла в мою грешную жизнь,валерий,
русская поп-музыка,меладзе,"салют, вера!",валерий,
русская поп-музыка,меладзе,самбо белого мотылька,валерий,
детские песни,миансарова,летка-енка (прыг-скок утром на лужок),тамара,
советские песни,миансарова,рудерик (рыжик),тамара,
русская поп-музыка,михаил круг,владимирский централ,,
советские песни,мулерман,"хмуриться не надо, лада",вадим,
русская поп-музыка,мумий тролль,владивосток 2000,,
русская поп-музыка,мумий тролль,невеста,,
русская поп-музыка,мумий тролль,утекай,,
советские песни,мы,возможно (мне придётся убить тебя),,
русская поп-музыка,налич,Guitar,пётр,
русская поп-музыка,насыров,мальчик хочет в тамбов,марат,
русский рок,науменко,"прощай, детка",майк,
русский рок,наутилус помпилиус,"гудбай, америка",,
русский рок,наутилус помпилиус,дыхание,,
русский рок,наутилус помпилиус,крылья,,
русский рок,наутилус помпилиус,прогулки по воде (видишь там на горе),,
русский рок,наутилус помпилиус,скованные одной цепью,,
русский рок,наутилус помпилиус,хлоп-хлоп,,
русский рок,наутилус помпилиус,я хочу быть с тобой,,https://amdm.ru/akkordi/naytilys_pompiliys/3037/ya_hochu_bit_s_toboy/
советские песни,неизвестен,вечер на рейде (прощай любимый город),,
советские песни,нечаев,ночи белые стоят над ленинградом,владимир,
русский рок,ноль,"иду, курю",,
русский рок,ноль,песня о настоящем индейце,,
русский рок,ноль,улица ленина,,
русский рок,ноль,человек и кошка,,
русский рок,ноль,школа жизни,,
русский рок,ноль,я.л.ю.б.л.ю.т.е.б.я,,
советские песни,ободзинский,эти глаза напротив,валерий,
русский рок,океан ельзи ,без бою,,
советские песни,пахоменко,сегодня праздник у девчат,мария,
советские песни,песняры,беловежская пуща,,
советские песни,пламя,не надо печалиться,виа,
советские песни,поющие гитары,ветер северный,,
советские песни,поющие гитары,сумерки,,
советские песни,поющие сердца ,кто тебе сказал (каждый день каждый взгляд),виа,
русская поп-музыка,пугачёва,не отрекаются любя,алла,
русская поп-музыка,пугачёва ,а знаешь все еще будет,алла,
русская поп-музыка,пугачёва ,айсберг,алла,
русская поп-музыка,пугачёва ,арлекино,алла,
русская поп-музыка,пугачёва ,звездное лето,алла,
русская поп-музыка,пугачёва ,любовь похожая на сон,алла,
русская поп-музыка,пугачёва ,миллион алых роз,алла,
русская поп-музыка,пугачёва ,позови меня с собой,алла,
русская поп-музыка,пугачёва ,этот мир придуман не нами,алла,
русская поп-музыка,пугачёва (feat. максим галкин),будь или не будь,алла,
русская поп-музыка,ржевская,"когда я стану кошкой (наверное, в следующей жизни)",мария,
советские песни,рождественская,"позвони мне, позвони",жанна,
русская поп-музыка,ротару,только этого мало,софия,
зарубежное,рыбак,fairytale,александр,https://amdm.ru/akkordi/aleksandr_ribak/103035/fairytale/
советские песни,самоцветы,мой адрес - советский союз,виа,
русский рок,секрет,"ах, алиса",,
русский рок,секрет,последний час декабря,,
детские песни,сохадзе,оранжевая песенка,ирма,
русский рок,сплин,моё сердце,,
русская поп-музыка,стрыкало ,всё решено ,валентин,
русская поп-музыка,стрыкало ,наше лето (ялта август),валентин,
советские песни,тенносаар,летка-енка (как-то ночью по пустой дороге),кальмер,
русская поп-музыка,трофимов,город сочи,сергей,
советские песни,трошин,подмосковные вечера,владимир,
русский рок,трубецкой,ау-ау-ау,ляпис,https://amdm.ru/akkordi/lapis_trybeckoi/4807/au/
русский рок,трубецкой,в платье белом,ляпис,https://amdm.ru/akkordi/lapis_trybeckoi/188716/v_plate_belom/
советские песни,успенская,любовь,любовь,
советские песни,утёсов,джаз-болельщик,леонид,
советские песни,утёсов,дорогие москвичи,леонид,
советские песни,утёсов,ленинградские мосты,леонид,
советские песни,утёсов,мишка,леонид,
советские песни,утёсов,московские окна,леонид,
советские песни,утёсов,му-му,леонид,
советские песни,утёсов,одесский порт,леонид,
советские песни,утёсов,песня старого извозчика,леонид,
советские песни,утёсов,"сердце, тебе не хочется покоя",леонид,
советские песни,утёсов,случайный вальс,леонид,
советские песни,утёсов,у чёрного моря,леонид,https://amdm.ru/akkordi/leonid_ytesov/95664/u_chernogo_morya/
советские песни,утёсов,утомлённое солнце,леонид,
советские песни,фрейндлих,у природы нет плохой погоды,алиса,
советские песни,френкель,август (скоро осень),ян,
советские песни,френкель,"журавли (мне кажется порою, что солдаты)",ян,
советские песни,френкель,что тебе сказать про сахалин ,юрий,
русская поп-музыка,фриске,а на море белый песок,жанна,
русская поп-музыка,фриске,где-то летом звёзды нам улыбались,жанна,
русский рок,чайф,"бутылка кефира, полбатона",,
русский рок,чиж,вечная молодость,,
русский рок,чиж,мышка (колыбельная хиппи),,
русский рок,чиж,поход (два ангела вперёд),,
русский рок,чиж,фантом,,
детские песни,шаинский,если с другом вышел в путь,владимир,
детские песни,шаинский,учат в школе,владимир,
детские песни,шаинский,чунга -чанга ,владимир,
детские песни,шаинский ,вместе весело шагать ,владимир,
русская поп-музыка,шарлот,щека на щеку,,
зарубежное,beatles,girl,,
зарубежное,beatles,help,,https://amdm.ru/akkordi/beatles/4951/help/
зарубежное,beatles,hey jude,,
зарубежное,beatles,let it be,,
зарубежное,beatles,michele,,
зарубежное,beatles,obladi-oblada,,
зарубежное,beatles,yellow submarine,,
зарубежное,beatles,yesterday,,
зарубежное,charles,hit the road jack,ray,
русская поп-музыка,cream soda,никаких больше вечеринок,,https://amdm.ru/akkordi/cream_soda/169611/nikakih_bolshe_vecherinok/
русская поп-музыка,dead blonde ,мальчик на девятке,,
зарубежное,elton john,can you feel the love tonight,,
зарубежное,elton john,yellow brick road,,
зарубежное,elton john,your song,,
зарубежное,fidgerald,dream a little dream of me,ella,
русская поп-музыка,gayazovs brothers,малиновая лада,,
зарубежное,pink floyd,another brick in the wall (we don't need no education),,
зарубежное,pixies,where is my mind?,the,https://amdm.ru/akkordi/pixies/70865/where_is_my_mind/
русская поп-музыка,t.aT.u,покажи мне любовь,,
русская поп-музыка,t.aT.u,all about us,,
зарубежное,velazquez torres,besame mucho,consuelo,
зарубежное,ylvis,what does the fox say?,,https://amdm.ru/akkordi/ylvis/141701/what_does_the_fox_say/
разное,,ах самара городок ,,
разное,,бублички,,
детские песни,,в лесу родилась ёлочка,,
разное,,валенки ,,
разное,,виновата ли я,,
разное,,вот кто-то с горочки спустился,,
разное,,за окном черемуха колышется,,
разное,,"каким ты был, таким остался",,
разное,,катюша,,
разное,,коробейники,,
разное,,крутится вертится шар голубой,,
разное,,маруся раз два три калина,,
разное,,миленький ты мой,,
разное,,мой костёр в тумане светит,,
разное,,Москва златоглавая (конфетки бараночки),,
разное,,мурка,,
разное,,ой то не вечер,,
разное,,ой цветёт калина в поле у ручья,,
разное,,очи чёрные,,
детские песни,,пусть всегда будет (солнечный круг),,
разное,,спи иисусе спи,,
разное,,сулико,,
разное,,ты ж мэнэ пидманула,,
разное,,цыпленок жареный,,
разное,,чёрный ворон,,
разное,,я назову тебя зоренькой,,
